you're	3.6200366720055746	126/23139	144/60068	0.0054	0.0024
not	3.3373583962666515	126/23139	155/60068	0.0054	0.0026
because	2.64707090857713	83/23139	104/60068	0.0036	0.0017
you_are	2.4234210447961835	86/23139	117/60068	0.0037	0.0019
is	2.1476501600598454	287/23139	555/60068	0.0124	0.0092
being	2.112543398920484	55/23139	70/60068	0.0024	0.0012
of	1.5582396719258584	246/23139	508/60068	0.0106	0.0085
you	1.542948037858622	863/23139	1995/60068	0.0373	0.0332
*	1.4890952103207173	47/23139	72/60068	0.002	0.0012
'	1.4877303324108917	49/23139	76/60068	0.0021	0.0013
by	1.457049325460339	43/23139	65/60068	0.0019	0.0011
me	1.4499825259471097	108/23139	202/60068	0.0047	0.0034
that	1.3891382939580341	341/23139	746/60068	0.0147	0.0124
but	1.370759883965196	149/23139	298/60068	0.0064	0.005
or	1.297856075625605	77/23139	141/60068	0.0033	0.0023
are	1.262388051956342	90/23139	171/60068	0.0039	0.0028
how	1.259534453567309	61/23139	108/60068	0.0026	0.0018
then	1.193915106297442	40/23139	66/60068	0.0017	0.0011
?	1.190356059638426	38/23139	62/60068	0.0016	0.001
just	1.122926712503323	111/23139	225/60068	0.0048	0.0037
if	1.0082341337844012	61/23139	117/60068	0.0026	0.0019
people	0.9427947577146025	40/23139	73/60068	0.0017	0.0012
was	0.9313403254723749	38/23139	69/60068	0.0016	0.0011
think	0.8833365934058525	36/23139	66/60068	0.0016	0.0011
,_but	0.7901677143027442	96/23139	207/60068	0.0041	0.0034
say	0.7284976864042157	46/23139	93/60068	0.002	0.0015
about	0.7042549777446317	82/23139	178/60068	0.0035	0.003
it's	0.6946550800049807	67/23139	143/60068	0.0029	0.0024
a	0.6153509506739377	338/23139	814/60068	0.0146	0.0136
as	0.574610769082309	119/23139	274/60068	0.0051	0.0046
my	0.5310914486492218	368/23139	898/60068	0.0159	0.0149
your	0.5303457073842355	389/23139	951/60068	0.0168	0.0158
up	0.5054790657925955	39/23139	84/60068	0.0017	0.0014
be	0.4705625056200907	36/23139	78/60068	0.0016	0.0013
when	0.43499547531099403	53/23139	120/60068	0.0023	0.002
in	0.42580812611380425	227/23139	553/60068	0.0098	0.0092
