like	1.1883319707225117	24/2040	291/93262	0.0118	0.0031
just	0.711455108785453	19/2040	348/93262	0.0093	0.0037
but	0.44321064943716487	19/2040	488/93262	0.0093	0.0052
people	0.43544342885871445	7/2040	127/93262	0.0034	0.0014
are	0.35681992473070345	11/2040	273/93262	0.0054	0.0029
me	0.3375468964778914	13/2040	349/93262	0.0064	0.0037
was	0.3300623973028663	6/2040	128/93262	0.0029	0.0014
my	0.3095669110973002	40/2040	1387/93262	0.0196	0.0149
i	0.29200021433699447	32/2040	1092/93262	0.0157	0.0117
only	0.2707502193271169	5/2040	115/93262	0.0025	0.0012
from	0.2470625754994613	7/2040	188/93262	0.0034	0.002
as	0.23631844768379315	13/2040	409/93262	0.0064	0.0044
very	0.2343533026062693	4/2040	94/93262	0.002	0.001
,	0.19959685241587805	76/2040	3060/93262	0.0373	0.0328
in	0.18147725179422164	23/2040	848/93262	0.0113	0.0091
also	0.1809999882818346	5/2040	144/93262	0.0025	0.0015
when	0.16192151218664963	6/2040	188/93262	0.0029	0.002
with	0.16041354712947742	16/2040	582/93262	0.0078	0.0062
at	0.14195179796192325	5/2040	159/93262	0.0025	0.0017
because	0.12469972899371992	6/2040	205/93262	0.0029	0.0022
all	0.11737819197362286	9/2040	329/93262	0.0044	0.0035
.	0.11695123305739227	137/2040	5936/93262	0.0672	0.0636
so	0.09942249054102238	10/2040	382/93262	0.0049	0.0041
we	0.09653319631674666	10/2040	384/93262	0.0049	0.0041
,_but	0.0955039490849	9/2040	343/93262	0.0044	0.0037
be	0.09330519411617913	4/2040	140/93262	0.002	0.0015
work	0.09254985118979556	3/2040	101/93262	0.0015	0.0011
no	0.08367386037941603	3/2040	104/93262	0.0015	0.0011
*	0.08103160449723666	4/2040	145/93262	0.002	0.0016
would	0.06945297350337586	3/2040	109/93262	0.0015	0.0012
time	0.06395139094932958	3/2040	111/93262	0.0015	0.0012
more	0.05103996271241946	4/2040	158/93262	0.002	0.0017
about	0.04716415268789135	7/2040	289/93262	0.0034	0.0031
i'm	0.03971605742908728	6/2040	250/93262	0.0029	0.0027
our	0.03745603775691963	15/2040	649/93262	0.0074	0.007
way	0.03538661184312669	3/2040	122/93262	0.0015	0.0013
then	0.016191911214037617	3/2040	130/93262	0.0015	0.0014
love	0.011394338592762301	4/2040	177/93262	0.002	0.0019
it's	-0.0024161128070483645	5/2040	230/93262	0.0025	0.0025
they	-0.006838844805824536	2/2040	94/93262	0.001	0.001
than	-0.014606295562887344	2/2040	97/93262	0.001	0.001
(	-0.014757519920920007	3/2040	144/93262	0.0015	0.0015
that's	-0.017143991960515765	2/2040	98/93262	0.001	0.0011
any	-0.022145617418172153	2/2040	100/93262	0.001	0.0011
one	-0.022145617418172153	2/2040	100/93262	0.001	0.0011
is	-0.025645862365056317	21/2040	991/93262	0.0103	0.0106
that	-0.027351826964178014	28/2040	1318/93262	0.0137	0.0141
you	-0.028020591461005568	70/2040	3260/93262	0.0343	0.035
'	-0.031158624610505087	3/2040	152/93262	0.0015	0.0016
some	-0.031158624610505087	3/2040	152/93262	0.0015	0.0016
and	-0.03219778091501263	44/2040	2067/93262	0.0216	0.0222
of	-0.037295343333972476	18/2040	865/93262	0.0088	0.0093
have	-0.04428578552078165	12/2040	590/93262	0.0059	0.0063
say	-0.04865469871927869	3/2040	161/93262	0.0015	0.0017
you're	-0.049763237394391875	6/2040	308/93262	0.0029	0.0033
see	-0.05029693198728216	2/2040	112/93262	0.001	0.0012
this	-0.05074900358010059	7/2040	357/93262	0.0034	0.0038
good	-0.061200234596101195	2/2040	117/93262	0.001	0.0013
if_you	-0.08804989262266827	5/2040	286/93262	0.0025	0.0031
you_are	-0.08816906409062263	4/2040	235/93262	0.002	0.0025
really	-0.09119469144766186	3/2040	185/93262	0.0015	0.002
how	-0.10425519971112929	3/2040	193/93262	0.0015	0.0021
here	-0.11715991290826984	2/2040	146/93262	0.001	0.0016
i_think	-0.13195543503158277	3/2040	211/93262	0.0015	0.0023
)	-0.1325264117435674	2/2040	155/93262	0.001	0.0017
them	-0.134185977587491	2/2040	156/93262	0.001	0.0017
thank_you	-0.13911063207210836	2/2040	159/93262	0.001	0.0017
her	-0.1447889096739595	1/2040	102/93262	0.0005	0.0011
/	-0.14850214746537171	1/2040	104/93262	0.0005	0.0011
know	-0.14872724382831273	2/2040	165/93262	0.001	0.0018
i_love	-0.15576124717289022	1/2040	108/93262	0.0005	0.0012
-	-0.16454253456589615	1/2040	113/93262	0.0005	0.0012
not	-0.16637788526243844	5/2040	348/93262	0.0025	0.0037
do	-0.1711840120608371	3/2040	239/93262	0.0015	0.0026
a	-0.17871302852759965	23/2040	1297/93262	0.0113	0.0139
or	-0.1880742670842288	3/2040	252/93262	0.0015	0.0027
your	-0.19068785036329117	27/2040	1517/93262	0.0132	0.0163
up	-0.19385666899002618	1/2040	131/93262	0.0005	0.0014
by	-0.20145276634074477	1/2040	136/93262	0.0005	0.0015
think	-0.20145276634074477	1/2040	136/93262	0.0005	0.0015
will	-0.2160433269445485	1/2040	146/93262	0.0005	0.0016
what	-0.23146448737999553	4/2040	349/93262	0.002	0.0037
it	-0.2359660924396248	12/2040	805/93262	0.0059	0.0086
on	-0.23701726118423405	6/2040	472/93262	0.0029	0.0051
the	-0.25329704861846725	32/2040	1879/93262	0.0157	0.0201
take	-0.25444007443641603	0/2040	95/93262	0.0	0.001
said	-0.2662448557628165	0/2040	104/93262	0.0	0.0011
!	-0.27230020148665324	4/2040	389/93262	0.002	0.0042
an	-0.27399228683840426	1/2040	191/93262	0.0005	0.002
out	-0.2800034625896844	0/2040	115/93262	0.0	0.0012
make	-0.28243368390192314	0/2040	117/93262	0.0	0.0013
don't	-0.28604067906744	0/2040	120/93262	0.0	0.0013
?	-0.3056853564683407	0/2040	137/93262	0.0	0.0015
get	-0.30751949589633226	1/2040	221/93262	0.0005	0.0024
to	-0.3089021668849526	29/2040	1826/93262	0.0142	0.0196
you_can	-0.309023843234357	0/2040	140/93262	0.0	0.0015
being	-0.31451015613337896	0/2040	145/93262	0.0	0.0016
thank_you_for	-0.31489760647535786	1/2040	228/93262	0.0005	0.0024
for	-0.3586061958270974	9/2040	799/93262	0.0044	0.0086
if	-0.3859317397778246	0/2040	218/93262	0.0	0.0023
