about	0.7245379606984576	16/1957	267/89946	0.0082	0.003
like	0.4978235487512082	14/1957	303/89946	0.0072	0.0034
as	0.38068428155285167	15/1957	394/89946	0.0077	0.0044
we_have	0.3457955467428815	5/1957	96/89946	0.0026	0.0011
it's	0.29075048941397913	9/1957	238/89946	0.0046	0.0026
)	0.28884436897473176	6/1957	141/89946	0.0031	0.0016
i'm	0.27748768792383033	9/1957	244/89946	0.0046	0.0027
your	0.24169422128636167	39/1957	1440/89946	0.0199	0.016
think	0.23248890940779263	5/1957	127/89946	0.0026	0.0014
in	0.20872561441794238	23/1957	825/89946	0.0118	0.0092
are	0.20650461518018798	9/1957	279/89946	0.0046	0.0031
would	0.19956871089180314	4/1957	104/89946	0.002	0.0012
,_but	0.1949386842987582	10/1957	323/89946	0.0051	0.0036
see	0.1894636877984843	4/1957	107/89946	0.002	0.0012
know	0.18819637721158944	5/1957	142/89946	0.0026	0.0016
how	0.1707530939803197	6/1957	185/89946	0.0031	0.0021
good	0.1701446268120909	4/1957	113/89946	0.002	0.0013
my	0.15006881267878222	33/1957	1308/89946	0.0169	0.0145
because	0.14812947368200122	6/1957	195/89946	0.0031	0.0022
people	0.1460350601917953	4/1957	121/89946	0.002	0.0013
by	0.1460350601917953	4/1957	121/89946	0.002	0.0013
or	0.13528439299538064	7/1957	240/89946	0.0036	0.0027
than	0.12895439642522777	3/1957	90/89946	0.0015	0.001
.	0.12082362201967091	132/1957	5733/89946	0.0675	0.0637
an	0.10396845415650548	5/1957	176/89946	0.0026	0.002
,	0.10050194572827	69/1957	2965/89946	0.0353	0.033
/	0.10000034765297085	3/1957	99/89946	0.0015	0.0011
said	0.07649010517684232	3/1957	107/89946	0.0015	0.0012
a	0.053646442099845836	28/1957	1215/89946	0.0143	0.0135
have	0.03640706566371916	13/1957	564/89946	0.0066	0.0063
love	0.03557491402039773	4/1957	166/89946	0.002	0.0018
way	0.027184115998246317	3/1957	126/89946	0.0015	0.0014
get	0.02596080423908864	5/1957	215/89946	0.0026	0.0024
was	0.01776142411585289	3/1957	130/89946	0.0015	0.0014
you_are	0.01700252285434257	5/1957	220/89946	0.0026	0.0024
i	0.01583976051981009	24/1957	1083/89946	0.0123	0.012
our	0.002507983984094677	14/1957	641/89946	0.0072	0.0071
them	0.0019402512616023499	3/1957	137/89946	0.0015	0.0015
(	-0.00025495116415580636	3/1957	138/89946	0.0015	0.0015
here	-0.006748748044667221	3/1957	141/89946	0.0015	0.0016
