the	2.7491787128188956	316/12382	1154/67175	0.0255	0.0172
is	2.600283933587897	183/12382	602/67175	0.0148	0.009
from	2.1159966735704336	47/12382	111/67175	0.0038	0.0017
a	1.2492696942838928	200/12382	867/67175	0.0162	0.0129
of	1.202251336188548	135/12382	562/67175	0.0109	0.0084
or	1.1345174088600782	45/12382	157/67175	0.0036	0.0023
if_you	1.0529042520359775	47/12382	171/67175	0.0038	0.0025
in	1.0465325180998306	135/12382	582/67175	0.0109	0.0087
it	0.9712754000125384	127/12382	553/67175	0.0103	0.0082
are	0.7462592784177361	49/12382	202/67175	0.004	0.003
get	0.7330106277064546	37/12382	147/67175	0.003	0.0022
would	0.7265348593582671	20/12382	71/67175	0.0016	0.0011
know	0.7147026507017907	28/12382	107/67175	0.0023	0.0016
i_think	0.6773753873399236	33/12382	132/67175	0.0027	0.002
*	0.6558096857751022	24/12382	92/67175	0.0019	0.0014
that	0.6263992294659565	187/12382	904/67175	0.0151	0.0135
if	0.6258122439765408	37/12382	154/67175	0.003	0.0023
do	0.5893217884757185	39/12382	166/67175	0.0031	0.0025
about	0.5209512870651064	46/12382	205/67175	0.0037	0.0031
what	0.5187210157070825	48/12382	215/67175	0.0039	0.0032
an	0.4984758305705159	29/12382	124/67175	0.0023	0.0018
also	0.4787579019924286	25/12382	106/67175	0.002	0.0016
to	0.43666351814338755	246/12382	1245/67175	0.0199	0.0185
work	0.4182668355775094	17/12382	71/67175	0.0014	0.0011
as	0.4101844466645102	67/12382	320/67175	0.0054	0.0048
don't	0.4041053493999659	20/12382	86/67175	0.0016	0.0013
by	0.40059306918156345	21/12382	91/67175	0.0017	0.0014
will	0.3767850941273649	23/12382	102/67175	0.0019	0.0015
was	0.2882096201523127	22/12382	102/67175	0.0018	0.0015
(	0.25202162959874924	21/12382	99/67175	0.0017	0.0015
?	0.25048302233807596	19/12382	89/67175	0.0015	0.0013
-	0.24947087655454298	16/12382	74/67175	0.0013	0.0011
your	0.20742248583307019	203/12382	1062/67175	0.0164	0.0158
with	0.1977510661330196	82/12382	421/67175	0.0066	0.0063
have	0.19167675423114283	83/12382	427/67175	0.0067	0.0064
