then	0.5048364233300414	6/944	126/98040	0.0064	0.0013
more	0.41955505841200386	6/944	160/98040	0.0064	0.0016
in	0.30709099802198775	16/944	880/98040	0.0169	0.009
people	0.2815524210888827	4/944	133/98040	0.0042	0.0014
work	0.24550535007705365	3/944	99/98040	0.0032	0.001
one	0.2385656554115152	3/944	102/98040	0.0032	0.001
don't	0.21308748492279977	3/944	114/98040	0.0032	0.0012
by	0.17867170419497344	3/944	133/98040	0.0032	0.0014
up	0.16742548688181785	3/944	140/98040	0.0032	0.0014
all	0.16674111924423118	6/944	353/98040	0.0064	0.0036
our	0.15682822115782405	10/944	686/98040	0.0106	0.007
your	0.15613266073728888	20/944	1554/98040	0.0212	0.0159
the	0.15189436960382252	24/944	1928/98040	0.0254	0.0197
them	0.14676902320056265	3/944	154/98040	0.0032	0.0016
do	0.13841316348862917	4/944	233/98040	0.0042	0.0024
will	0.12815579148315404	3/944	168/98040	0.0032	0.0017
say	0.12564047716817023	3/944	170/98040	0.0032	0.0017
we're	0.12265150101235213	2/944	101/98040	0.0021	0.001
than	0.1158312059789785	2/944	105/98040	0.0021	0.0011
no	0.11090748551318277	2/944	108/98040	0.0021	0.0011
that's	0.11090748551318277	2/944	108/98040	0.0021	0.0011
only	0.10613640453669662	2/944	111/98040	0.0021	0.0011
see	0.09701553835580046	2/944	117/98040	0.0021	0.0012
that	0.09575810479086032	16/944	1361/98040	0.0169	0.0139
how	0.08426365341483218	3/944	207/98040	0.0032	0.0021
is	0.07729839366387292	12/944	1034/98040	0.0127	0.0105
a	0.0723458075381044	15/944	1333/98040	0.0159	0.0136
you're	0.07031887194601316	4/944	309/98040	0.0042	0.0032
to	0.041571468421612585	19/944	1823/98040	0.0201	0.0186
also	0.03756404474945047	2/944	166/98040	0.0021	0.0017
or	0.03479413684460886	3/944	263/98040	0.0032	0.0027
know	0.03063071120517819	2/944	173/98040	0.0021	0.0018
me	0.030053217164198235	4/944	366/98040	0.0042	0.0037
what	0.02683352219582006	4/944	371/98040	0.0042	0.0038
,	0.02227339336647927	32/944	3218/98040	0.0339	0.0328
on	0.019232224749275335	5/944	483/98040	0.0053	0.0049
this	0.01804585637558225	4/944	385/98040	0.0042	0.0039
so	0.0060309985884757535	4/944	405/98040	0.0042	0.0041
from	0.004669692651160767	2/944	202/98040	0.0021	0.0021
out	-0.0001640071022714043	1/944	104/98040	0.0011	0.0011
it	-0.0004673561368657957	8/944	832/98040	0.0085	0.0085
get	-0.001035563066726923	2/944	209/98040	0.0021	0.0021
and	-0.002287775412766534	21/944	2190/98040	0.0222	0.0223
.	-0.006826611020394505	60/944	6275/98040	0.0636	0.064
/	-0.007875127733025289	1/944	111/98040	0.0011	0.0011
time	-0.020058430561644237	1/944	123/98040	0.0011	0.0013
*	-0.022926736240495498	1/944	126/98040	0.0011	0.0013
way	-0.02937751667174527	1/944	133/98040	0.0011	0.0014
it's	-0.03578155297317255	2/944	257/98040	0.0021	0.0026
,_but	-0.03871489905395782	3/944	376/98040	0.0032	0.0038
was	-0.03890476519192819	1/944	144/98040	0.0011	0.0015
be	-0.039737504927590206	1/944	145/98040	0.0011	0.0015
you_can	-0.039737504927590206	1/944	145/98040	0.0011	0.0015
here	-0.043017220930046625	1/944	149/98040	0.0011	0.0015
being	-0.047791042041811664	1/944	155/98040	0.0011	0.0016
if_you	-0.05271801461381327	2/944	284/98040	0.0021	0.0029
thank_you	-0.053906084886537496	1/944	163/98040	0.0011	0.0017
at	-0.054651706064517296	1/944	164/98040	0.0011	0.0017
!	-0.05514852755575755	3/944	407/98040	0.0032	0.0042
)	-0.05539334054376865	1/944	165/98040	0.0011	0.0017
but	-0.06302822982867036	4/944	541/98040	0.0042	0.0055
of	-0.06435965979226589	7/944	891/98040	0.0074	0.0091
are	-0.06934839240077663	2/944	313/98040	0.0021	0.0032
an	-0.0753709525064834	1/944	194/98040	0.0011	0.002
you	-0.08952670249241894	29/944	3449/98040	0.0307	0.0352
not	-0.09116542307166293	2/944	355/98040	0.0021	0.0036
because	-0.09239877668585574	1/944	222/98040	0.0011	0.0023
i_think	-0.09525213099434895	1/944	227/98040	0.0011	0.0023
have	-0.09916648091218805	4/944	628/98040	0.0042	0.0064
with	-0.10608301313056501	4/944	646/98040	0.0042	0.0066
you_are	-0.10723937640280398	1/944	249/98040	0.0011	0.0025
her	-0.11664435247843868	0/944	100/98040	0.0	0.001
any	-0.11722730615233735	0/944	101/98040	0.0	0.001
experience	-0.11722730615233735	0/944	101/98040	0.0	0.001
i'm	-0.12086359005938875	1/944	276/98040	0.0011	0.0028
different	-0.12123015179390438	0/944	108/98040	0.0	0.0011
very	-0.12345972660583159	0/944	112/98040	0.0	0.0011
said	-0.12401091260771177	0/944	113/98040	0.0	0.0012
would	-0.12455968168084497	0/944	114/98040	0.0	0.0012
-	-0.12565009557484355	0/944	116/98040	0.0	0.0012
for	-0.12636631039799293	5/944	830/98040	0.0053	0.0085
make	-0.12780327457897356	0/944	120/98040	0.0	0.0012
i_love	-0.13044525262644688	0/944	125/98040	0.0	0.0013
good	-0.13303529046076332	0/944	130/98040	0.0	0.0013
as	-0.13701706819333256	2/944	459/98040	0.0021	0.0047
?	-0.13707864234893832	0/944	138/98040	0.0	0.0014
about	-0.1414687991772372	1/944	321/98040	0.0011	0.0033
think	-0.14197273359362936	0/944	148/98040	0.0	0.0015
(	-0.14340877033607255	0/944	151/98040	0.0	0.0015
some	-0.14763410194149937	0/944	160/98040	0.0	0.0016
'	-0.14809623495078242	0/944	161/98040	0.0	0.0016
love	-0.16092927131422127	0/944	190/98040	0.0	0.0019
really	-0.16262100930697596	0/944	194/98040	0.0	0.002
when	-0.16800336452626313	0/944	207/98040	0.0	0.0021
just	-0.16929332056753452	1/944	390/98040	0.0011	0.004
if	-0.17242860166332016	0/944	218/98040	0.0	0.0022
we	-0.17887296099075312	1/944	416/98040	0.0011	0.0042
thank_you_for	-0.1817163647610749	0/944	242/98040	0.0	0.0025
my	-0.20509260663113035	8/944	1505/98040	0.0085	0.0154
like	-0.2200288938745888	0/944	354/98040	0.0	0.0036
i	-0.22486631456337683	5/944	1174/98040	0.0053	0.012
